Year,Keyword,Hits
1924,prequel,0
1924,sequel,4
1924,remake,12
1925,prequel,0
1925,sequel,5
1925,remake,21
1926,prequel,0
1926,sequel,5
1926,remake,23
1927,prequel,0
1927,sequel,7
1927,remake,16
1928,prequel,0
1928,sequel,5
1928,remake,13
1929,prequel,1
1929,sequel,4
1929,remake,30
1930,prequel,0
1930,sequel,5
1930,remake,34
1931,prequel,0
1931,sequel,2
1931,remake,44
1932,prequel,0
1932,sequel,5
1932,remake,35
1933,prequel,0
1933,sequel,8
1933,remake,29
1934,prequel,0
1934,sequel,10
1934,remake,41
1935,prequel,0
1935,sequel,9
1935,remake,51
1936,prequel,0
1936,sequel,13
1936,remake,62
1937,prequel,0
1937,sequel,24
1937,remake,66
1938,prequel,0
1938,sequel,23
1938,remake,51
1939,prequel,0
1939,sequel,37
1939,remake,42
1940,prequel,0
1940,sequel,38
1940,remake,49
1941,prequel,0
1941,sequel,28
1941,remake,42
1942,prequel,0
1942,sequel,36
1942,remake,39
1943,prequel,0
1943,sequel,38
1943,remake,27
1944,prequel,0
1944,sequel,26
1944,remake,24
1945,prequel,0
1945,sequel,29
1945,remake,16
1946,prequel,0
1946,sequel,29
1946,remake,26
1947,prequel,0
1947,sequel,26
1947,remake,20
1948,prequel,2
1948,sequel,20
1948,remake,27
1949,prequel,1
1949,sequel,29
1949,remake,27
1950,prequel,0
1950,sequel,25
1950,remake,26
1951,prequel,0
1951,sequel,20
1951,remake,29
1952,prequel,0
1952,sequel,20
1952,remake,24
1953,prequel,0
1953,sequel,23
1953,remake,30
1954,prequel,0
1954,sequel,19
1954,remake,40
1955,prequel,0
1955,sequel,29
1955,remake,49
1956,prequel,1
1956,sequel,14
1956,remake,39
1957,prequel,0
1957,sequel,30
1957,remake,46
1958,prequel,0
1958,sequel,35
1958,remake,40
1959,prequel,1
1959,sequel,32
1959,remake,27
1960,prequel,0
1960,sequel,27
1960,remake,20
1961,prequel,0
1961,sequel,23
1961,remake,28
1962,prequel,0
1962,sequel,27
1962,remake,34
1963,prequel,0
1963,sequel,42
1963,remake,17
1964,prequel,0
1964,sequel,40
1964,remake,26
1965,prequel,0
1965,sequel,53
1965,remake,21
1966,prequel,3
1966,sequel,55
1966,remake,28
1967,prequel,0
1967,sequel,53
1967,remake,29
1968,prequel,0
1968,sequel,56
1968,remake,30
1969,prequel,0
1969,sequel,44
1969,remake,25
1970,prequel,0
1970,sequel,51
1970,remake,33
1971,prequel,2
1971,sequel,55
1971,remake,17
1972,prequel,1
1972,sequel,63
1972,remake,24
1973,prequel,0
1973,sequel,68
1973,remake,21
1974,prequel,2
1974,sequel,57
1974,remake,29
1975,prequel,0
1975,sequel,49
1975,remake,19
1976,prequel,0
1976,sequel,62
1976,remake,19
1977,prequel,0
1977,sequel,62
1977,remake,22
1978,prequel,0
1978,sequel,42
1978,remake,18
1979,prequel,2
1979,sequel,51
1979,remake,18
1980,prequel,0
1980,sequel,48
1980,remake,24
1981,prequel,0
1981,sequel,43
1981,remake,31
1982,prequel,1
1982,sequel,52
1982,remake,25
1983,prequel,1
1983,sequel,50
1983,remake,29
1984,prequel,1
1984,sequel,50
1984,remake,33
1985,prequel,2
1985,sequel,56
1985,remake,24
1986,prequel,2
1986,sequel,52
1986,remake,33
1987,prequel,1
1987,sequel,67
1987,remake,28
1988,prequel,1
1988,sequel,82
1988,remake,31
1989,prequel,1
1989,sequel,77
1989,remake,25
1990,prequel,1
1990,sequel,89
1990,remake,30
1991,prequel,0
1991,sequel,87
1991,remake,40
1992,prequel,2
1992,sequel,86
1992,remake,35
1993,prequel,0
1993,sequel,85
1993,remake,27
1994,prequel,1
1994,sequel,113
1994,remake,49
1995,prequel,2
1995,sequel,72
1995,remake,36
1996,prequel,4
1996,sequel,72
1996,remake,44
1997,prequel,1
1997,sequel,76
1997,remake,37
1998,prequel,1
1998,sequel,66
1998,remake,38
1999,prequel,1
1999,sequel,50
1999,remake,54
2000,prequel,5
2000,sequel,56
2000,remake,34
2001,prequel,2
2001,sequel,37
2001,remake,54
2002,prequel,6
2002,sequel,46
2002,remake,46
2003,prequel,5
2003,sequel,58
2003,remake,42
2004,prequel,7
2004,sequel,62
2004,remake,42
2005,prequel,4
2005,sequel,57
2005,remake,37
2006,prequel,6
2006,sequel,70
2006,remake,42
2007,prequel,4
2007,sequel,59
2007,remake,43
2008,prequel,5
2008,sequel,84
2008,remake,42
2009,prequel,5
2009,sequel,82
2009,remake,48
2010,prequel,6
2010,sequel,88
2010,remake,47
2011,prequel,6
2011,sequel,80
2011,remake,39
2012,prequel,8
2012,sequel,81
2012,remake,39
2013,prequel,9
2013,sequel,87
2013,remake,37
2014,prequel,13
2014,sequel,101
2014,remake,45
2015,prequel,7
2015,sequel,79
2015,remake,33
2016,prequel,10
2016,sequel,109
2016,remake,33
2017,prequel,16
2017,sequel,119
2017,remake,39
2018,prequel,11
2018,sequel,108
2018,remake,45
2019,prequel,10
2019,sequel,102
2019,remake,65
2020,prequel,3
2020,sequel,91
2020,remake,42
2021,prequel,11
2021,sequel,94
2021,remake,37
2022,prequel,13
2022,sequel,124
2022,remake,44
2023,prequel,8
2023,sequel,113
2023,remake,48
2024,prequel,12
2024,sequel,86
2024,remake,36